victim_id,fir_id,injury_severity,complaint_type
VIC-02884,FIR-000418,NONE,SELF
VIC-03521,FIR-000419,MINOR,SELF
VIC-01040,FIR-000420,MINOR,SELF
VIC-02749,FIR-000421,MODERATE,FAMILY_MEMBER
VIC-03318,FIR-000422,SEVERE,SELF
VIC-01613,FIR-000423,MINOR,SELF
VIC-00986,FIR-000424,MODERATE,FAMILY_MEMBER
VIC-00391,FIR-000425,MINOR,SELF
VIC-02414,FIR-000426,NONE,SELF
VIC-01990,FIR-000427,MINOR,SELF
VIC-00375,FIR-000428,MINOR,SELF
VIC-02929,FIR-000429,MINOR,FAMILY_MEMBER
VIC-02853,FIR-000429,NONE,SELF
VIC-00270,FIR-000430,NONE,SELF
VIC-00156,FIR-000431,MODERATE,SELF
VIC-03807,FIR-000432,SEVERE,FAMILY_MEMBER
VIC-02019,FIR-000432,MINOR,FAMILY_MEMBER
VIC-02807,FIR-000433,NONE,SELF
VIC-00419,FIR-000434,MINOR,SELF
VIC-01175,FIR-000435,SEVERE,SELF
VIC-03404,FIR-000436,NONE,SELF
VIC-02112,FIR-000437,MINOR,FAMILY_MEMBER
VIC-02501,FIR-000438,MINOR,SELF
VIC-00677,FIR-000439,MODERATE,THIRD_PARTY
VIC-00188,FIR-000440,MINOR,THIRD_PARTY
VIC-00346,FIR-000440,MINOR,THIRD_PARTY
VIC-02584,FIR-000441,MODERATE,FAMILY_MEMBER
VIC-03836,FIR-000442,MINOR,POLICE_SUO_MOTU
VIC-02875,FIR-000443,MODERATE,FAMILY_MEMBER
VIC-03196,FIR-000444,MINOR,THIRD_PARTY
VIC-01821,FIR-000445,SEVERE,FAMILY_MEMBER
VIC-02564,FIR-000445,MINOR,SELF
VIC-02521,FIR-000446,SEVERE,THIRD_PARTY
VIC-00567,FIR-000447,NONE,SELF
VIC-03619,FIR-000447,NONE,SELF
VIC-01804,FIR-000448,SEVERE,SELF
VIC-02209,FIR-000448,NONE,THIRD_PARTY
VIC-01427,FIR-000449,NONE,FAMILY_MEMBER
VIC-00774,FIR-000450,NONE,SELF
VIC-00375,FIR-000450,MODERATE,FAMILY_MEMBER
VIC-02047,FIR-000451,MINOR,FAMILY_MEMBER
VIC-02458,FIR-000451,MINOR,FAMILY_MEMBER
VIC-03081,FIR-000452,NONE,THIRD_PARTY
VIC-02723,FIR-000453,MINOR,SELF
VIC-00483,FIR-000454,NONE,FAMILY_MEMBER
VIC-01453,FIR-000455,MINOR,SELF
VIC-01017,FIR-000455,NONE,SELF
VIC-02287,FIR-000456,NONE,FAMILY_MEMBER
VIC-03191,FIR-000456,SEVERE,FAMILY_MEMBER
VIC-02627,FIR-000457,NONE,SELF
VIC-02517,FIR-000457,MODERATE,SELF
VIC-01019,FIR-000458,MODERATE,THIRD_PARTY
VIC-00591,FIR-000459,NONE,SELF
VIC-00584,FIR-000460,NONE,THIRD_PARTY
VIC-02582,FIR-000461,MINOR,SELF
VIC-02351,FIR-000462,SEVERE,FAMILY_MEMBER
VIC-02854,FIR-000463,MINOR,FAMILY_MEMBER
VIC-01059,FIR-000464,NONE,SELF
VIC-02160,FIR-000464,MINOR,FAMILY_MEMBER
VIC-00260,FIR-000465,NONE,SELF
VIC-03671,FIR-000466,MODERATE,FAMILY_MEMBER
VIC-03095,FIR-000466,SEVERE,FAMILY_MEMBER
VIC-00838,FIR-000467,MODERATE,SELF
VIC-01400,FIR-000468,NONE,SELF
VIC-02094,FIR-000469,NONE,SELF
VIC-00090,FIR-000469,SEVERE,SELF
VIC-02030,FIR-000470,NONE,SELF
VIC-01303,FIR-000470,MINOR,THIRD_PARTY
VIC-03227,FIR-000471,MINOR,SELF
VIC-01984,FIR-000472,MODERATE,THIRD_PARTY
VIC-02868,FIR-000473,NONE,SELF
VIC-03798,FIR-000474,SEVERE,SELF
VIC-00564,FIR-000474,NONE,SELF
VIC-00429,FIR-000475,MODERATE,THIRD_PARTY
VIC-02567,FIR-000476,NONE,SELF
VIC-02529,FIR-000477,MODERATE,SELF
VIC-02534,FIR-000478,MINOR,SELF
VIC-02324,FIR-000478,NONE,THIRD_PARTY
VIC-01070,FIR-000479,SEVERE,THIRD_PARTY
VIC-00553,FIR-000480,MODERATE,FAMILY_MEMBER
VIC-01433,FIR-000481,NONE,THIRD_PARTY
VIC-00501,FIR-000482,NONE,SELF
VIC-00254,FIR-000482,NONE,FAMILY_MEMBER
VIC-01618,FIR-000483,NONE,SELF
VIC-02906,FIR-000483,MINOR,SELF
VIC-02456,FIR-000484,NONE,SELF
VIC-02668,FIR-000485,MINOR,THIRD_PARTY
VIC-01025,FIR-000486,NONE,SELF
VIC-03544,FIR-000487,NONE,THIRD_PARTY
VIC-01767,FIR-000488,MINOR,SELF
VIC-01074,FIR-000488,NONE,THIRD_PARTY
VIC-03544,FIR-000489,NONE,FAMILY_MEMBER
VIC-03656,FIR-000489,NONE,SELF
VIC-00905,FIR-000490,NONE,SELF
VIC-01742,FIR-000490,NONE,THIRD_PARTY
VIC-03588,FIR-000491,NONE,SELF
VIC-01379,FIR-000492,MODERATE,SELF
VIC-00899,FIR-000493,SEVERE,SELF
VIC-00486,FIR-000494,NONE,SELF
VIC-01695,FIR-000494,SEVERE,SELF
VIC-00551,FIR-000495,MODERATE,FAMILY_MEMBER
VIC-00725,FIR-000496,NONE,POLICE_SUO_MOTU
VIC-03489,FIR-000497,MINOR,POLICE_SUO_MOTU
VIC-01591,FIR-000498,SEVERE,SELF
VIC-00444,FIR-000499,MINOR,SELF
VIC-02913,FIR-000499,MINOR,FAMILY_MEMBER
VIC-03499,FIR-000500,SEVERE,SELF
VIC-01507,FIR-000501,MINOR,POLICE_SUO_MOTU
VIC-01078,FIR-000501,MODERATE,FAMILY_MEMBER
VIC-00455,FIR-000502,SEVERE,SELF
VIC-03112,FIR-000503,MODERATE,SELF
VIC-02989,FIR-000504,NONE,FAMILY_MEMBER
VIC-03355,FIR-000505,MINOR,SELF
VIC-01269,FIR-000506,NONE,FAMILY_MEMBER
VIC-01329,FIR-000507,MODERATE,SELF
VIC-00194,FIR-000508,NONE,THIRD_PARTY
VIC-02674,FIR-000508,NONE,FAMILY_MEMBER
VIC-00807,FIR-000509,MODERATE,SELF
VIC-03829,FIR-000510,MODERATE,SELF
VIC-03017,FIR-000511,MODERATE,SELF
VIC-03005,FIR-000511,MODERATE,SELF
VIC-03130,FIR-000512,NONE,FAMILY_MEMBER
VIC-00682,FIR-000513,MINOR,SELF
VIC-01555,FIR-000514,MINOR,THIRD_PARTY
VIC-01449,FIR-000514,MODERATE,FAMILY_MEMBER
VIC-02486,FIR-000515,MODERATE,POLICE_SUO_MOTU
VIC-02928,FIR-000516,MINOR,SELF
VIC-03248,FIR-000516,SEVERE,SELF
VIC-01093,FIR-000517,MINOR,SELF
VIC-00049,FIR-000518,NONE,THIRD_PARTY
VIC-02599,FIR-000518,MODERATE,SELF
VIC-01943,FIR-000519,MINOR,SELF
VIC-00706,FIR-000520,NONE,SELF
VIC-01073,FIR-000521,MINOR,THIRD_PARTY
VIC-01482,FIR-000522,MINOR,SELF
VIC-03213,FIR-000523,MINOR,SELF
VIC-03279,FIR-000524,MODERATE,SELF
VIC-02199,FIR-000525,MINOR,SELF
VIC-03177,FIR-000526,MINOR,FAMILY_MEMBER
VIC-03181,FIR-000527,NONE,THIRD_PARTY
VIC-00250,FIR-000527,NONE,POLICE_SUO_MOTU
VIC-03431,FIR-000528,MINOR,SELF
VIC-01544,FIR-000529,NONE,THIRD_PARTY
VIC-03819,FIR-000530,NONE,SELF
VIC-03407,FIR-000530,MINOR,SELF
VIC-00976,FIR-000531,MINOR,SELF
VIC-02702,FIR-000532,MINOR,SELF
VIC-00644,FIR-000532,SEVERE,FAMILY_MEMBER
VIC-02109,FIR-000533,SEVERE,FAMILY_MEMBER
VIC-00869,FIR-000533,NONE,SELF
VIC-02608,FIR-000534,NONE,SELF
VIC-01835,FIR-000534,MINOR,SELF
VIC-02587,FIR-000535,MINOR,THIRD_PARTY
VIC-02772,FIR-000535,MINOR,SELF
VIC-01211,FIR-000536,NONE,SELF
VIC-02968,FIR-000537,NONE,FAMILY_MEMBER
VIC-02627,FIR-000538,SEVERE,FAMILY_MEMBER
VIC-03221,FIR-000538,MINOR,SELF
VIC-02628,FIR-000539,NONE,SELF
VIC-02412,FIR-000539,NONE,FAMILY_MEMBER
VIC-03530,FIR-000540,MINOR,FAMILY_MEMBER
VIC-00378,FIR-000541,SEVERE,POLICE_SUO_MOTU
VIC-01793,FIR-000541,MODERATE,SELF
VIC-03803,FIR-000542,SEVERE,FAMILY_MEMBER
VIC-00377,FIR-000542,NONE,THIRD_PARTY
VIC-03554,FIR-000543,NONE,SELF
VIC-00921,FIR-000544,SEVERE,SELF
VIC-01327,FIR-000544,NONE,FAMILY_MEMBER
VIC-03164,FIR-000545,MINOR,SELF
VIC-01505,FIR-000545,MODERATE,FAMILY_MEMBER
VIC-01206,FIR-000546,MINOR,SELF
VIC-01660,FIR-000547,NONE,FAMILY_MEMBER
VIC-02212,FIR-000548,MINOR,FAMILY_MEMBER
VIC-02318,FIR-000548,NONE,SELF
VIC-03202,FIR-000549,MINOR,SELF
VIC-00740,FIR-000550,NONE,THIRD_PARTY
VIC-02378,FIR-000551,NONE,SELF
VIC-01421,FIR-000552,MINOR,POLICE_SUO_MOTU
VIC-03575,FIR-000553,NONE,SELF
VIC-00024,FIR-000554,MODERATE,POLICE_SUO_MOTU
VIC-03828,FIR-000554,NONE,SELF
VIC-01288,FIR-000555,SEVERE,SELF
VIC-00370,FIR-000556,MINOR,SELF
VIC-03212,FIR-000557,NONE,SELF
VIC-00593,FIR-000558,NONE,FAMILY_MEMBER
VIC-03851,FIR-000558,NONE,SELF
VIC-01956,FIR-000559,NONE,FAMILY_MEMBER
VIC-03612,FIR-000560,SEVERE,THIRD_PARTY
VIC-03753,FIR-000561,NONE,THIRD_PARTY
VIC-01992,FIR-000562,MODERATE,SELF
VIC-00012,FIR-000563,MODERATE,SELF
VIC-03402,FIR-000564,NONE,FAMILY_MEMBER
VIC-00204,FIR-000564,NONE,SELF
VIC-01680,FIR-000565,NONE,SELF
VIC-03389,FIR-000565,NONE,THIRD_PARTY
VIC-00668,FIR-000566,SEVERE,FAMILY_MEMBER
VIC-01147,FIR-000567,NONE,SELF
VIC-03873,FIR-000567,SEVERE,SELF
VIC-01854,FIR-000568,NONE,SELF
VIC-03826,FIR-000569,MINOR,THIRD_PARTY
VIC-00134,FIR-000570,NONE,SELF
VIC-02860,FIR-000570,MODERATE,SELF
VIC-00005,FIR-000571,MINOR,THIRD_PARTY
VIC-03344,FIR-000572,MINOR,SELF
VIC-03062,FIR-000572,MODERATE,FAMILY_MEMBER
VIC-03252,FIR-000573,MINOR,THIRD_PARTY
VIC-00404,FIR-000574,NONE,SELF
VIC-02989,FIR-000575,NONE,FAMILY_MEMBER
VIC-02066,FIR-000576,MINOR,SELF
VIC-02864,FIR-000576,NONE,THIRD_PARTY
VIC-01919,FIR-000577,MINOR,FAMILY_MEMBER
VIC-01412,FIR-000578,NONE,SELF
VIC-01694,FIR-000579,MODERATE,SELF
VIC-02954,FIR-000579,MINOR,SELF
VIC-03322,FIR-000580,MINOR,SELF
VIC-00146,FIR-000581,NONE,SELF
VIC-02300,FIR-000581,MINOR,SELF
VIC-03656,FIR-000582,NONE,POLICE_SUO_MOTU
VIC-01794,FIR-000583,NONE,FAMILY_MEMBER
VIC-01382,FIR-000583,MODERATE,SELF
VIC-01119,FIR-000584,SEVERE,SELF
VIC-02410,FIR-000585,MINOR,POLICE_SUO_MOTU
VIC-03814,FIR-000586,MINOR,SELF
VIC-00725,FIR-000586,NONE,SELF
VIC-02584,FIR-000587,SEVERE,SELF
VIC-02213,FIR-000587,NONE,SELF
VIC-01134,FIR-000588,MODERATE,SELF
VIC-00328,FIR-000589,NONE,SELF
VIC-03378,FIR-000590,NONE,SELF
VIC-01330,FIR-000591,NONE,SELF
VIC-02993,FIR-000591,NONE,POLICE_SUO_MOTU
VIC-03896,FIR-000592,NONE,SELF
VIC-00389,FIR-000593,MINOR,FAMILY_MEMBER
VIC-03300,FIR-000593,NONE,THIRD_PARTY
VIC-02879,FIR-000594,NONE,FAMILY_MEMBER
VIC-03766,FIR-000595,NONE,THIRD_PARTY
VIC-00341,FIR-000596,MINOR,POLICE_SUO_MOTU
VIC-02732,FIR-000596,NONE,SELF
VIC-02318,FIR-000597,NONE,POLICE_SUO_MOTU
VIC-03112,FIR-000598,MODERATE,THIRD_PARTY
VIC-00879,FIR-000599,MODERATE,THIRD_PARTY
VIC-03269,FIR-000600,MINOR,FAMILY_MEMBER
VIC-02596,FIR-000600,MODERATE,SELF
VIC-01415,FIR-000601,NONE,SELF
VIC-02437,FIR-000602,MINOR,THIRD_PARTY
VIC-01500,FIR-000603,MINOR,THIRD_PARTY
VIC-00198,FIR-000604,NONE,SELF
VIC-01246,FIR-000605,MODERATE,SELF
VIC-02372,FIR-000605,NONE,SELF
VIC-00384,FIR-000606,MINOR,SELF
VIC-00264,FIR-000607,NONE,SELF
VIC-00907,FIR-000608,SEVERE,SELF
VIC-02235,FIR-000609,NONE,FAMILY_MEMBER
VIC-02323,FIR-000610,NONE,SELF
VIC-02149,FIR-000611,SEVERE,FAMILY_MEMBER
VIC-01630,FIR-000612,MINOR,THIRD_PARTY
VIC-00302,FIR-000613,MINOR,FAMILY_MEMBER
VIC-00181,FIR-000613,MODERATE,THIRD_PARTY
VIC-00496,FIR-000614,MODERATE,POLICE_SUO_MOTU
VIC-01137,FIR-000614,NONE,FAMILY_MEMBER
VIC-00085,FIR-000615,NONE,SELF
VIC-03474,FIR-000615,MODERATE,SELF
VIC-01426,FIR-000616,MODERATE,SELF
VIC-01045,FIR-000617,NONE,SELF
VIC-01044,FIR-000618,NONE,SELF
VIC-02878,FIR-000619,MODERATE,SELF
VIC-00391,FIR-000620,NONE,FAMILY_MEMBER
VIC-02517,FIR-000621,MODERATE,SELF
VIC-02277,FIR-000622,SEVERE,SELF
VIC-03699,FIR-000623,NONE,SELF
VIC-02525,FIR-000624,SEVERE,SELF
VIC-03783,FIR-000625,SEVERE,SELF
VIC-03236,FIR-000626,SEVERE,SELF
VIC-03526,FIR-000626,NONE,SELF
VIC-01277,FIR-000627,NONE,SELF
VIC-02749,FIR-000628,MODERATE,SELF
VIC-00024,FIR-000628,NONE,SELF
VIC-01893,FIR-000629,SEVERE,THIRD_PARTY
VIC-03717,FIR-000630,MINOR,SELF
VIC-02924,FIR-000631,MODERATE,SELF
VIC-00690,FIR-000632,NONE,FAMILY_MEMBER
VIC-01445,FIR-000633,SEVERE,SELF
VIC-02003,FIR-000634,MODERATE,FAMILY_MEMBER
VIC-03166,FIR-000635,NONE,SELF
VIC-02256,FIR-000636,NONE,FAMILY_MEMBER
VIC-01870,FIR-000637,NONE,FAMILY_MEMBER
VIC-02904,FIR-000638,NONE,POLICE_SUO_MOTU
VIC-02192,FIR-000639,MODERATE,FAMILY_MEMBER
VIC-01538,FIR-000640,MINOR,SELF
VIC-01965,FIR-000640,MODERATE,THIRD_PARTY
VIC-01274,FIR-000641,MODERATE,FAMILY_MEMBER
VIC-02959,FIR-000642,MODERATE,SELF
VIC-02258,FIR-000642,NONE,SELF
VIC-00937,FIR-000643,NONE,THIRD_PARTY
VIC-01142,FIR-000644,MINOR,SELF
VIC-03070,FIR-000645,MODERATE,FAMILY_MEMBER
VIC-01475,FIR-000646,MINOR,FAMILY_MEMBER
VIC-03014,FIR-000647,MINOR,SELF
VIC-00208,FIR-000648,NONE,FAMILY_MEMBER
VIC-01740,FIR-000649,MINOR,THIRD_PARTY
VIC-02842,FIR-000650,NONE,THIRD_PARTY
VIC-01712,FIR-000651,NONE,SELF
VIC-00808,FIR-000651,NONE,POLICE_SUO_MOTU
VIC-02437,FIR-000652,NONE,THIRD_PARTY
VIC-03700,FIR-000653,MINOR,FAMILY_MEMBER
VIC-02801,FIR-000654,NONE,SELF
VIC-03619,FIR-000655,MODERATE,POLICE_SUO_MOTU
VIC-03544,FIR-000656,MINOR,THIRD_PARTY
VIC-02175,FIR-000657,NONE,THIRD_PARTY
VIC-03039,FIR-000658,MINOR,SELF
VIC-00618,FIR-000659,MINOR,THIRD_PARTY
VIC-01999,FIR-000660,NONE,SELF
VIC-01711,FIR-000661,MODERATE,THIRD_PARTY
VIC-03085,FIR-000661,MODERATE,SELF
VIC-00627,FIR-000662,NONE,SELF
VIC-01242,FIR-000663,MINOR,FAMILY_MEMBER
VIC-00149,FIR-000664,MINOR,SELF
VIC-02806,FIR-000664,NONE,FAMILY_MEMBER
VIC-01409,FIR-000665,NONE,FAMILY_MEMBER
VIC-00531,FIR-000666,MODERATE,SELF
VIC-00363,FIR-000667,NONE,SELF
VIC-00563,FIR-000668,SEVERE,FAMILY_MEMBER
VIC-01314,FIR-000669,NONE,SELF
VIC-03483,FIR-000669,MINOR,THIRD_PARTY
VIC-03888,FIR-000670,SEVERE,POLICE_SUO_MOTU
VIC-03811,FIR-000671,MINOR,FAMILY_MEMBER
VIC-02914,FIR-000672,NONE,FAMILY_MEMBER
VIC-00824,FIR-000673,MINOR,THIRD_PARTY
VIC-01154,FIR-000674,SEVERE,POLICE_SUO_MOTU
VIC-01498,FIR-000674,MINOR,SELF
VIC-03889,FIR-000675,NONE,THIRD_PARTY
VIC-03295,FIR-000676,NONE,FAMILY_MEMBER
VIC-02845,FIR-000676,NONE,THIRD_PARTY
VIC-02826,FIR-000677,MINOR,SELF
VIC-01858,FIR-000677,MINOR,FAMILY_MEMBER
VIC-02957,FIR-000678,MODERATE,THIRD_PARTY
VIC-01477,FIR-000679,SEVERE,SELF
VIC-01110,FIR-000680,NONE,THIRD_PARTY
VIC-03306,FIR-000681,NONE,SELF
VIC-01406,FIR-000682,NONE,SELF
VIC-02612,FIR-000683,SEVERE,THIRD_PARTY
VIC-00359,FIR-000684,MODERATE,SELF
VIC-00585,FIR-000684,NONE,THIRD_PARTY
VIC-03459,FIR-000685,MINOR,SELF
VIC-02171,FIR-000686,NONE,SELF
VIC-00487,FIR-000686,NONE,SELF
VIC-02735,FIR-000687,SEVERE,FAMILY_MEMBER
VIC-01016,FIR-000687,MODERATE,SELF
VIC-03182,FIR-000688,NONE,SELF
VIC-02321,FIR-000689,MINOR,FAMILY_MEMBER
VIC-03717,FIR-000690,MINOR,SELF
VIC-00500,FIR-000691,MINOR,SELF
VIC-03818,FIR-000692,NONE,SELF
VIC-03820,FIR-000693,MINOR,SELF
VIC-02695,FIR-000694,NONE,THIRD_PARTY
VIC-03267,FIR-000695,MINOR,SELF
VIC-02041,FIR-000696,NONE,SELF
VIC-02655,FIR-000697,SEVERE,FAMILY_MEMBER
VIC-01399,FIR-000698,MODERATE,THIRD_PARTY
VIC-02318,FIR-000699,MINOR,FAMILY_MEMBER
VIC-00014,FIR-000700,NONE,THIRD_PARTY
VIC-00264,FIR-000701,MINOR,SELF
VIC-02200,FIR-000702,NONE,THIRD_PARTY
VIC-02697,FIR-000703,SEVERE,SELF
VIC-02796,FIR-000704,NONE,SELF
VIC-01310,FIR-000704,MINOR,THIRD_PARTY
VIC-02475,FIR-000705,NONE,POLICE_SUO_MOTU
VIC-03763,FIR-000706,NONE,SELF
VIC-00652,FIR-000707,SEVERE,SELF
VIC-01383,FIR-000707,MODERATE,SELF
VIC-00110,FIR-000708,MINOR,SELF
VIC-03212,FIR-000709,NONE,SELF
VIC-03389,FIR-000710,MODERATE,FAMILY_MEMBER
VIC-00693,FIR-000711,NONE,FAMILY_MEMBER
VIC-02523,FIR-000712,NONE,SELF
VIC-00006,FIR-000712,NONE,THIRD_PARTY
VIC-03202,FIR-000713,MODERATE,FAMILY_MEMBER
VIC-01749,FIR-000714,NONE,SELF
VIC-03717,FIR-000715,NONE,POLICE_SUO_MOTU
VIC-02487,FIR-000716,MINOR,POLICE_SUO_MOTU
VIC-03399,FIR-000717,MODERATE,SELF
VIC-02013,FIR-000717,NONE,SELF
VIC-03374,FIR-000718,SEVERE,SELF
VIC-00721,FIR-000719,MODERATE,POLICE_SUO_MOTU
VIC-02498,FIR-000719,MINOR,FAMILY_MEMBER
VIC-03193,FIR-000720,MINOR,SELF
VIC-00595,FIR-000721,NONE,POLICE_SUO_MOTU
VIC-00626,FIR-000722,NONE,SELF
VIC-02200,FIR-000723,MODERATE,SELF
VIC-02746,FIR-000724,MODERATE,FAMILY_MEMBER
VIC-02724,FIR-000724,SEVERE,FAMILY_MEMBER
VIC-01449,FIR-000725,MINOR,SELF
VIC-01383,FIR-000726,NONE,FAMILY_MEMBER
VIC-00993,FIR-000726,MODERATE,FAMILY_MEMBER
VIC-01003,FIR-000727,NONE,FAMILY_MEMBER
VIC-02801,FIR-000728,MODERATE,SELF
VIC-01211,FIR-000729,NONE,THIRD_PARTY
VIC-03163,FIR-000729,NONE,FAMILY_MEMBER
VIC-00294,FIR-000730,NONE,SELF
VIC-03214,FIR-000731,NONE,SELF
VIC-02691,FIR-000732,NONE,SELF
VIC-00185,FIR-000733,NONE,SELF
VIC-02565,FIR-000734,MINOR,SELF
VIC-00295,FIR-000735,NONE,FAMILY_MEMBER
VIC-01113,FIR-000736,NONE,THIRD_PARTY
VIC-02427,FIR-000737,SEVERE,FAMILY_MEMBER
VIC-03297,FIR-000738,NONE,SELF
VIC-01716,FIR-000739,SEVERE,FAMILY_MEMBER
VIC-00532,FIR-000740,MODERATE,SELF
VIC-02342,FIR-000741,NONE,FAMILY_MEMBER
VIC-01896,FIR-000742,MINOR,FAMILY_MEMBER
VIC-02320,FIR-000742,SEVERE,SELF
VIC-03659,FIR-000743,MINOR,SELF
VIC-00541,FIR-000744,MINOR,SELF
VIC-01390,FIR-000745,MINOR,POLICE_SUO_MOTU
VIC-01947,FIR-000745,MINOR,SELF
VIC-00852,FIR-000746,SEVERE,FAMILY_MEMBER
VIC-00451,FIR-000747,MINOR,FAMILY_MEMBER
VIC-00120,FIR-000747,SEVERE,FAMILY_MEMBER
VIC-00745,FIR-000748,NONE,SELF
VIC-02401,FIR-000748,NONE,THIRD_PARTY
VIC-01549,FIR-000749,NONE,SELF
VIC-03275,FIR-000749,SEVERE,SELF
VIC-03227,FIR-000750,SEVERE,SELF
VIC-03124,FIR-000751,MINOR,SELF
VIC-03783,FIR-000752,NONE,THIRD_PARTY
VIC-03648,FIR-000753,NONE,FAMILY_MEMBER
VIC-00136,FIR-000754,NONE,SELF
VIC-00816,FIR-000755,NONE,FAMILY_MEMBER
VIC-03814,FIR-000756,MINOR,SELF
VIC-01418,FIR-000756,NONE,FAMILY_MEMBER
VIC-02846,FIR-000757,NONE,SELF
VIC-02120,FIR-000758,NONE,SELF
VIC-03496,FIR-000759,NONE,SELF
VIC-03443,FIR-000760,MINOR,SELF
VIC-01696,FIR-000761,MINOR,SELF
VIC-03583,FIR-000762,SEVERE,THIRD_PARTY
VIC-01260,FIR-000762,MODERATE,FAMILY_MEMBER
VIC-00497,FIR-000763,NONE,THIRD_PARTY
VIC-03085,FIR-000763,MINOR,THIRD_PARTY
VIC-02369,FIR-000764,MINOR,SELF
VIC-03593,FIR-000764,MINOR,SELF
VIC-02866,FIR-000765,MINOR,SELF
VIC-01454,FIR-000765,MINOR,SELF
VIC-00896,FIR-000766,SEVERE,FAMILY_MEMBER
VIC-02140,FIR-000767,MINOR,THIRD_PARTY
VIC-00033,FIR-000768,SEVERE,FAMILY_MEMBER
VIC-00710,FIR-000769,NONE,SELF
VIC-03684,FIR-000770,MODERATE,SELF
VIC-01691,FIR-000771,NONE,SELF
VIC-00515,FIR-000772,NONE,SELF
VIC-03475,FIR-000773,NONE,THIRD_PARTY
VIC-02321,FIR-000774,NONE,SELF
VIC-00437,FIR-000775,NONE,SELF
VIC-01891,FIR-000775,NONE,SELF
VIC-01605,FIR-000776,NONE,FAMILY_MEMBER
VIC-00010,FIR-000777,MINOR,SELF
VIC-02497,FIR-000778,NONE,SELF
VIC-02264,FIR-000778,NONE,SELF
VIC-00347,FIR-000779,NONE,THIRD_PARTY
VIC-01352,FIR-000780,NONE,SELF
VIC-02748,FIR-000781,MODERATE,SELF
VIC-01270,FIR-000781,MINOR,SELF
VIC-00909,FIR-000782,MINOR,FAMILY_MEMBER
VIC-02764,FIR-000783,MODERATE,SELF
VIC-00134,FIR-000784,MINOR,THIRD_PARTY
VIC-01286,FIR-000784,MODERATE,THIRD_PARTY
VIC-03086,FIR-000785,MINOR,SELF
VIC-02649,FIR-000786,MINOR,SELF
VIC-00264,FIR-000786,MINOR,SELF
VIC-01305,FIR-000787,NONE,SELF
VIC-03880,FIR-000788,NONE,SELF
VIC-03868,FIR-000788,NONE,SELF
VIC-02987,FIR-000789,SEVERE,SELF
VIC-00628,FIR-000790,MINOR,SELF
VIC-01644,FIR-000791,MINOR,SELF
VIC-02074,FIR-000792,NONE,SELF
VIC-02836,FIR-000793,NONE,THIRD_PARTY
VIC-03342,FIR-000794,NONE,THIRD_PARTY
VIC-01960,FIR-000794,MINOR,SELF
VIC-03066,FIR-000795,NONE,SELF
VIC-00230,FIR-000795,NONE,THIRD_PARTY
VIC-02278,FIR-000796,MODERATE,THIRD_PARTY
VIC-00119,FIR-000796,NONE,FAMILY_MEMBER
VIC-00521,FIR-000797,MINOR,SELF
VIC-03275,FIR-000797,MINOR,FAMILY_MEMBER
VIC-00373,FIR-000798,MINOR,SELF
VIC-03265,FIR-000798,NONE,SELF
VIC-03600,FIR-000799,MODERATE,THIRD_PARTY
VIC-01895,FIR-000800,MODERATE,POLICE_SUO_MOTU
VIC-02606,FIR-000801,MINOR,SELF
VIC-00434,FIR-000801,MINOR,THIRD_PARTY
VIC-01081,FIR-000802,NONE,SELF
VIC-02199,FIR-000802,MODERATE,SELF
VIC-00608,FIR-000803,NONE,THIRD_PARTY
VIC-00638,FIR-000803,NONE,SELF
VIC-01406,FIR-000804,NONE,FAMILY_MEMBER
VIC-01044,FIR-000804,SEVERE,FAMILY_MEMBER
VIC-01021,FIR-000805,MINOR,SELF
VIC-00764,FIR-000806,NONE,SELF
VIC-00489,FIR-000806,MINOR,POLICE_SUO_MOTU
VIC-02820,FIR-000807,MINOR,THIRD_PARTY
VIC-00978,FIR-000808,MINOR,SELF
VIC-00148,FIR-000809,MODERATE,THIRD_PARTY
VIC-01444,FIR-000809,NONE,POLICE_SUO_MOTU
VIC-00730,FIR-000810,MINOR,FAMILY_MEMBER
VIC-00691,FIR-000811,NONE,SELF
VIC-00870,FIR-000811,MINOR,SELF
VIC-00613,FIR-000812,NONE,SELF
VIC-03322,FIR-000813,NONE,THIRD_PARTY
VIC-03723,FIR-000814,NONE,FAMILY_MEMBER
VIC-01139,FIR-000815,NONE,SELF
VIC-01044,FIR-000816,MODERATE,SELF
VIC-03779,FIR-000816,NONE,SELF
VIC-03524,FIR-000817,NONE,FAMILY_MEMBER
VIC-00293,FIR-000818,MINOR,THIRD_PARTY
VIC-02793,FIR-000818,MINOR,SELF
VIC-01750,FIR-000819,MINOR,SELF
VIC-01297,FIR-000820,MINOR,SELF
VIC-02040,FIR-000820,MINOR,FAMILY_MEMBER
VIC-00630,FIR-000821,NONE,SELF
VIC-00581,FIR-000822,MODERATE,SELF
VIC-00619,FIR-000823,MINOR,SELF
VIC-03805,FIR-000824,MODERATE,SELF
VIC-03103,FIR-000825,MINOR,FAMILY_MEMBER
VIC-02738,FIR-000826,MODERATE,SELF
VIC-02961,FIR-000827,NONE,FAMILY_MEMBER
VIC-00312,FIR-000828,NONE,SELF
VIC-02258,FIR-000829,NONE,SELF
VIC-02205,FIR-000830,MODERATE,SELF
VIC-02886,FIR-000831,MODERATE,SELF
VIC-00622,FIR-000832,NONE,THIRD_PARTY
VIC-01213,FIR-000833,MINOR,THIRD_PARTY
