accused_id,fir_id,role_in_case,date_added,warrant_status
ACC-01812,FIR-000851,primary,2025-08-30,PENDING
ACC-01194,FIR-000852,primary,2025-08-04,NONE
ACC-03432,FIR-000853,primary,2025-09-18,NONE
ACC-01638,FIR-000853,suspect,2025-09-18,NONE
ACC-02253,FIR-000854,primary,2025-09-27,ISSUED
ACC-03037,FIR-000855,primary,2025-10-25,NONE
ACC-04246,FIR-000856,primary,2025-10-09,NONE
ACC-03296,FIR-000857,primary,2025-11-12,NONE
ACC-01048,FIR-000857,secondary,2025-11-12,PENDING
ACC-02267,FIR-000858,primary,2025-11-11,PENDING
ACC-00043,FIR-000858,suspect,2025-11-11,NONE
ACC-01423,FIR-000859,primary,2025-12-22,NONE
ACC-04244,FIR-000860,primary,2025-12-02,NONE
ACC-00164,FIR-000861,primary,2021-01-24,NONE
ACC-01640,FIR-000862,primary,2021-01-27,NONE
ACC-00654,FIR-000862,suspect,2021-01-27,PENDING
ACC-00608,FIR-000863,primary,2021-02-03,NONE
ACC-00925,FIR-000864,primary,2021-02-12,NONE
ACC-04112,FIR-000865,primary,2021-03-06,NONE
ACC-01690,FIR-000865,suspect,2021-03-06,NONE
ACC-02177,FIR-000865,secondary,2021-03-06,NONE
ACC-03222,FIR-000866,primary,2021-03-06,PENDING
ACC-04346,FIR-000867,primary,2021-04-30,NONE
ACC-03009,FIR-000868,primary,2021-04-11,ISSUED
ACC-02394,FIR-000869,primary,2021-05-29,NONE
ACC-02295,FIR-000869,suspect,2021-05-29,NONE
ACC-01080,FIR-000870,primary,2021-05-21,NONE
ACC-01430,FIR-000871,primary,2021-06-18,NONE
ACC-02908,FIR-000872,primary,2021-06-08,NONE
ACC-00575,FIR-000873,primary,2021-07-01,ISSUED
ACC-01239,FIR-000874,primary,2021-07-10,NONE
ACC-01690,FIR-000874,suspect,2021-07-10,NONE
ACC-00826,FIR-000875,primary,2021-08-23,NONE
ACC-01307,FIR-000876,primary,2021-08-20,NONE
ACC-03673,FIR-000876,suspect,2021-08-20,NONE
ACC-02736,FIR-000877,primary,2021-09-27,PENDING
ACC-03835,FIR-000878,primary,2021-09-04,ISSUED
ACC-00823,FIR-000879,primary,2021-10-10,NONE
ACC-03036,FIR-000880,primary,2021-10-23,NONE
ACC-01436,FIR-000880,secondary,2021-10-23,NONE
ACC-04075,FIR-000880,suspect,2021-10-23,PENDING
ACC-00125,FIR-000881,primary,2021-11-12,NONE
ACC-03916,FIR-000882,primary,2021-11-26,NONE
ACC-03397,FIR-000883,primary,2021-12-23,NONE
ACC-00640,FIR-000883,suspect,2021-12-23,NONE
ACC-01434,FIR-000884,primary,2021-12-19,NONE
ACC-00926,FIR-000884,suspect,2021-12-19,ISSUED
ACC-01775,FIR-000884,secondary,2021-12-19,NONE
ACC-00526,FIR-000885,primary,2022-01-16,ISSUED
ACC-01900,FIR-000885,suspect,2022-01-16,NONE
ACC-01661,FIR-000886,primary,2022-01-05,PENDING
ACC-00316,FIR-000887,primary,2022-02-01,ISSUED
ACC-01778,FIR-000888,primary,2022-02-25,NONE
ACC-00156,FIR-000889,primary,2022-03-17,NONE
ACC-03872,FIR-000890,primary,2022-03-02,NONE
ACC-03206,FIR-000891,primary,2022-04-10,NONE
ACC-03577,FIR-000892,primary,2022-04-02,NONE
ACC-00267,FIR-000892,secondary,2022-04-02,ISSUED
ACC-03166,FIR-000893,primary,2022-05-09,NONE
ACC-01052,FIR-000894,primary,2022-05-31,NONE
ACC-03494,FIR-000894,suspect,2022-05-31,NONE
ACC-00187,FIR-000895,primary,2022-06-30,NONE
ACC-00998,FIR-000896,primary,2022-06-05,NONE
ACC-04292,FIR-000896,suspect,2022-06-05,NONE
ACC-03236,FIR-000897,primary,2022-07-31,NONE
ACC-03494,FIR-000897,suspect,2022-07-31,NONE
ACC-00704,FIR-000898,primary,2022-07-28,NONE
ACC-01818,FIR-000899,primary,2022-08-16,NONE
ACC-00812,FIR-000899,secondary,2022-08-16,NONE
ACC-04267,FIR-000900,primary,2022-08-26,NONE
ACC-02968,FIR-000901,primary,2022-09-15,NONE
ACC-00596,FIR-000902,primary,2022-09-26,ISSUED
ACC-04166,FIR-000903,primary,2022-10-07,NONE
ACC-01047,FIR-000904,primary,2022-10-03,NONE
ACC-03425,FIR-000904,suspect,2022-10-03,ISSUED
ACC-02762,FIR-000905,primary,2022-11-22,ISSUED
ACC-01415,FIR-000906,primary,2022-11-13,ISSUED
ACC-02060,FIR-000907,primary,2022-12-24,NONE
ACC-01325,FIR-000908,primary,2022-12-07,NONE
ACC-03551,FIR-000909,primary,2023-01-28,EXECUTED
ACC-00215,FIR-000910,primary,2023-01-02,NONE
ACC-01638,FIR-000910,secondary,2023-01-02,NONE
ACC-03979,FIR-000911,primary,2023-02-24,NONE
ACC-01779,FIR-000912,primary,2023-02-28,NONE
ACC-02393,FIR-000913,primary,2023-03-02,EXECUTED
ACC-03918,FIR-000913,secondary,2023-03-02,NONE
ACC-01915,FIR-000914,primary,2023-03-12,NONE
ACC-03308,FIR-000915,primary,2023-04-28,NONE
ACC-03926,FIR-000916,primary,2023-04-02,NONE
ACC-00005,FIR-000917,primary,2023-05-29,NONE
ACC-04292,FIR-000917,suspect,2023-05-29,ISSUED
ACC-03186,FIR-000918,primary,2023-05-01,EXECUTED
ACC-02937,FIR-000918,secondary,2023-05-01,NONE
ACC-01780,FIR-000919,primary,2023-06-10,NONE
ACC-04209,FIR-000919,suspect,2023-06-10,NONE
ACC-00710,FIR-000920,primary,2023-06-11,NONE
ACC-00959,FIR-000921,primary,2023-07-24,NONE
ACC-00812,FIR-000921,suspect,2023-07-24,PENDING
ACC-03003,FIR-000922,primary,2023-07-16,ISSUED
ACC-00939,FIR-000923,primary,2023-08-11,NONE
ACC-04183,FIR-000924,primary,2023-08-03,PENDING
ACC-03425,FIR-000924,secondary,2023-08-03,NONE
ACC-02622,FIR-000925,primary,2023-09-26,NONE
ACC-01436,FIR-000925,suspect,2023-09-26,NONE
ACC-02717,FIR-000926,primary,2023-09-29,NONE
ACC-01305,FIR-000927,primary,2023-10-30,PENDING
ACC-02631,FIR-000928,primary,2023-10-25,NONE
ACC-00574,FIR-000928,secondary,2023-10-25,NONE
ACC-02825,FIR-000929,primary,2023-11-24,NONE
ACC-02926,FIR-000929,suspect,2023-11-24,NONE
ACC-01507,FIR-000930,primary,2023-11-06,NONE
ACC-02761,FIR-000931,primary,2023-12-20,NONE
ACC-04044,FIR-000932,primary,2023-12-28,NONE
ACC-00262,FIR-000932,secondary,2023-12-28,NONE
ACC-02261,FIR-000933,primary,2024-01-05,ISSUED
ACC-01550,FIR-000934,primary,2024-01-12,NONE
ACC-00634,FIR-000935,primary,2024-02-08,ISSUED
ACC-00574,FIR-000935,suspect,2024-02-08,NONE
ACC-01276,FIR-000935,suspect,2024-02-08,NONE
ACC-02444,FIR-000936,primary,2024-02-24,NONE
ACC-01753,FIR-000936,secondary,2024-02-24,NONE
ACC-03578,FIR-000937,primary,2024-03-02,ISSUED
ACC-00636,FIR-000937,secondary,2024-03-02,NONE
ACC-03444,FIR-000938,primary,2024-03-15,EXECUTED
ACC-03216,FIR-000939,primary,2024-04-15,PENDING
ACC-01226,FIR-000940,primary,2024-04-02,ISSUED
ACC-03352,FIR-000941,primary,2024-05-24,NONE
ACC-01243,FIR-000941,suspect,2024-05-24,PENDING
ACC-03921,FIR-000942,primary,2024-05-10,NONE
ACC-01112,FIR-000942,suspect,2024-05-10,NONE
ACC-03544,FIR-000943,primary,2024-06-07,NONE
ACC-00591,FIR-000944,primary,2024-06-29,ISSUED
ACC-00184,FIR-000945,primary,2024-07-15,NONE
ACC-00857,FIR-000946,primary,2024-07-26,NONE
ACC-01775,FIR-000946,secondary,2024-07-26,NONE
ACC-00963,FIR-000947,primary,2024-08-01,NONE
ACC-01264,FIR-000948,primary,2024-08-16,NONE
ACC-01561,FIR-000949,primary,2024-09-13,PENDING
ACC-01393,FIR-000950,primary,2024-09-04,PENDING
ACC-02584,FIR-000950,suspect,2024-09-04,PENDING
ACC-01078,FIR-000951,primary,2024-10-15,NONE
ACC-00262,FIR-000951,secondary,2024-10-15,PENDING
ACC-02742,FIR-000951,secondary,2024-10-15,NONE
ACC-02424,FIR-000952,primary,2024-10-10,NONE
ACC-01900,FIR-000952,secondary,2024-10-10,NONE
ACC-00972,FIR-000953,primary,2024-11-28,NONE
ACC-01385,FIR-000954,primary,2024-11-26,EXECUTED
ACC-00758,FIR-000954,suspect,2024-11-26,NONE
ACC-00008,FIR-000955,primary,2024-12-03,NONE
ACC-01141,FIR-000956,primary,2024-12-05,ISSUED
ACC-02567,FIR-000957,primary,2025-01-04,NONE
ACC-00719,FIR-000958,primary,2025-01-09,ISSUED
ACC-03893,FIR-000958,suspect,2025-01-09,NONE
ACC-04365,FIR-000959,primary,2025-02-17,NONE
ACC-01243,FIR-000959,secondary,2025-02-17,NONE
ACC-00741,FIR-000960,primary,2025-02-15,ISSUED
ACC-01939,FIR-000961,primary,2025-03-28,NONE
ACC-04366,FIR-000962,primary,2025-03-31,ISSUED
ACC-00764,FIR-000962,suspect,2025-03-31,NONE
ACC-02841,FIR-000962,secondary,2025-03-31,NONE
ACC-03136,FIR-000963,primary,2025-04-05,NONE
ACC-03644,FIR-000964,primary,2025-04-06,NONE
ACC-00653,FIR-000965,primary,2025-05-22,NONE
ACC-04351,FIR-000965,suspect,2025-05-22,NONE
ACC-01208,FIR-000966,primary,2025-05-23,ISSUED
ACC-03948,FIR-000966,suspect,2025-05-23,NONE
ACC-01608,FIR-000967,primary,2025-06-03,NONE
ACC-00926,FIR-000967,suspect,2025-06-03,NONE
ACC-02022,FIR-000968,primary,2025-06-30,NONE
ACC-01126,FIR-000969,primary,2025-07-30,NONE
ACC-03918,FIR-000969,secondary,2025-07-30,NONE
ACC-02878,FIR-000970,primary,2025-07-05,NONE
ACC-02295,FIR-000970,suspect,2025-07-05,PENDING
ACC-00439,FIR-000971,primary,2025-08-28,NONE
ACC-00040,FIR-000971,secondary,2025-08-28,NONE
ACC-02811,FIR-000972,primary,2025-08-10,NONE
ACC-03801,FIR-000973,primary,2025-09-26,ISSUED
ACC-03635,FIR-000973,secondary,2025-09-26,NONE
ACC-00869,FIR-000974,primary,2025-09-14,NONE
ACC-00758,FIR-000974,suspect,2025-09-14,NONE
ACC-02123,FIR-000975,primary,2025-10-06,PENDING
ACC-03150,FIR-000976,primary,2025-10-03,PENDING
ACC-01753,FIR-000976,suspect,2025-10-03,ISSUED
ACC-02409,FIR-000976,suspect,2025-10-03,PENDING
ACC-02372,FIR-000977,primary,2025-11-04,NONE
ACC-03601,FIR-000978,primary,2025-11-20,EXECUTED
ACC-00054,FIR-000978,secondary,2025-11-20,ISSUED
ACC-01935,FIR-000979,primary,2025-12-18,NONE
ACC-02765,FIR-000980,primary,2025-12-03,EXECUTED
ACC-03520,FIR-000981,primary,2021-01-27,NONE
ACC-02741,FIR-000982,primary,2021-01-12,EXECUTED
ACC-04026,FIR-000983,primary,2021-02-02,NONE
ACC-03119,FIR-000984,primary,2021-02-10,EXECUTED
ACC-00984,FIR-000984,secondary,2021-02-10,ISSUED
ACC-01612,FIR-000984,suspect,2021-02-10,PENDING
ACC-00795,FIR-000985,primary,2021-03-21,NONE
ACC-02077,FIR-000986,primary,2021-03-03,NONE
ACC-00237,FIR-000986,secondary,2021-03-03,ISSUED
ACC-03412,FIR-000987,primary,2021-04-24,NONE
ACC-01092,FIR-000987,suspect,2021-04-24,NONE
ACC-03478,FIR-000988,primary,2021-04-17,NONE
ACC-04133,FIR-000989,primary,2021-05-25,PENDING
ACC-04420,FIR-000990,primary,2021-05-10,NONE
ACC-00543,FIR-000991,primary,2021-06-03,NONE
ACC-04418,FIR-000992,primary,2021-06-03,ISSUED
ACC-03398,FIR-000993,primary,2021-07-07,NONE
ACC-00635,FIR-000994,primary,2021-07-31,NONE
ACC-02548,FIR-000995,primary,2021-08-10,NONE
ACC-00237,FIR-000995,suspect,2021-08-10,NONE
ACC-02101,FIR-000995,secondary,2021-08-10,ISSUED
ACC-03595,FIR-000996,primary,2021-08-23,NONE
ACC-03634,FIR-000997,primary,2021-09-24,NONE
ACC-00900,FIR-000998,primary,2021-09-13,PENDING
ACC-04296,FIR-000999,primary,2021-10-29,NONE
ACC-04206,FIR-001000,primary,2021-10-07,NONE
ACC-03876,FIR-001000,suspect,2021-10-07,NONE
ACC-03953,FIR-001000,secondary,2021-10-07,ISSUED
ACC-01417,FIR-001001,primary,2021-11-03,NONE
ACC-02815,FIR-001001,secondary,2021-11-03,NONE
ACC-00306,FIR-001002,primary,2021-11-29,NONE
ACC-01102,FIR-001003,primary,2021-12-04,NONE
ACC-03783,FIR-001004,primary,2021-12-16,PENDING
ACC-04274,FIR-001005,primary,2022-01-14,EXECUTED
ACC-01443,FIR-001005,secondary,2022-01-14,ISSUED
ACC-03953,FIR-001005,secondary,2022-01-14,ISSUED
ACC-00232,FIR-001006,primary,2022-01-07,ISSUED
ACC-02461,FIR-001006,secondary,2022-01-07,NONE
ACC-01873,FIR-001007,primary,2022-02-08,NONE
ACC-00403,FIR-001008,primary,2022-02-02,ISSUED
ACC-03776,FIR-001009,primary,2022-03-16,ISSUED
ACC-01312,FIR-001009,secondary,2022-03-16,NONE
ACC-03587,FIR-001010,primary,2022-03-09,ISSUED
ACC-04393,FIR-001010,suspect,2022-03-09,NONE
ACC-03603,FIR-001011,primary,2022-04-13,NONE
ACC-03212,FIR-001011,secondary,2022-04-13,ISSUED
ACC-00903,FIR-001012,primary,2022-04-04,NONE
ACC-03212,FIR-001012,secondary,2022-04-04,NONE
ACC-01005,FIR-001013,primary,2022-05-05,ISSUED
ACC-02893,FIR-001014,primary,2022-05-25,PENDING
ACC-03332,FIR-001015,primary,2022-06-11,NONE
ACC-02348,FIR-001016,primary,2022-06-18,NONE
ACC-01625,FIR-001017,primary,2022-07-15,ISSUED
ACC-00124,FIR-001018,primary,2022-07-18,PENDING
ACC-01376,FIR-001019,primary,2022-08-18,ISSUED
ACC-04350,FIR-001020,primary,2022-08-16,NONE
ACC-01271,FIR-001021,primary,2022-09-09,NONE
ACC-01551,FIR-001022,primary,2022-09-26,NONE
ACC-03506,FIR-001023,primary,2022-10-19,NONE
ACC-04431,FIR-001024,primary,2022-10-08,NONE
ACC-02683,FIR-001025,primary,2022-11-16,NONE
ACC-03138,FIR-001026,primary,2022-11-22,NONE
ACC-00355,FIR-001027,primary,2022-12-19,NONE
ACC-01858,FIR-001028,primary,2022-12-12,NONE
ACC-00197,FIR-001028,secondary,2022-12-12,NONE
ACC-03224,FIR-001029,primary,2023-01-25,ISSUED
ACC-00351,FIR-001030,primary,2023-01-06,NONE
ACC-03177,FIR-001031,primary,2023-02-22,PENDING
ACC-00333,FIR-001032,primary,2023-02-05,NONE
ACC-01031,FIR-001033,primary,2023-03-08,NONE
ACC-02101,FIR-001033,secondary,2023-03-08,NONE
ACC-02291,FIR-001033,suspect,2023-03-08,NONE
ACC-02656,FIR-001034,primary,2023-03-25,PENDING
ACC-03619,FIR-001035,primary,2023-04-02,NONE
ACC-01997,FIR-001035,secondary,2023-04-02,NONE
ACC-04314,FIR-001036,primary,2023-04-22,EXECUTED
ACC-02386,FIR-001036,secondary,2023-04-22,NONE
ACC-01155,FIR-001037,primary,2023-05-04,EXECUTED
ACC-03662,FIR-001038,primary,2023-05-21,NONE
ACC-00898,FIR-001039,primary,2023-06-23,NONE
ACC-00137,FIR-001040,primary,2023-06-17,NONE
ACC-01068,FIR-001041,primary,2023-07-05,PENDING
ACC-00336,FIR-001042,primary,2023-07-02,PENDING
ACC-00197,FIR-001042,secondary,2023-07-02,NONE
ACC-01980,FIR-001043,primary,2023-08-07,NONE
ACC-01525,FIR-001044,primary,2023-08-02,NONE
ACC-02100,FIR-001044,secondary,2023-08-02,NONE
ACC-01355,FIR-001045,primary,2023-09-28,NONE
ACC-01918,FIR-001046,primary,2023-09-04,NONE
ACC-00888,FIR-001047,primary,2023-10-31,NONE
ACC-00079,FIR-001047,suspect,2023-10-31,NONE
ACC-00021,FIR-001047,secondary,2023-10-31,NONE
ACC-01787,FIR-001048,primary,2023-10-29,NONE
ACC-03900,FIR-001049,primary,2023-11-03,NONE
ACC-02051,FIR-001050,primary,2023-11-07,NONE
ACC-04271,FIR-001051,primary,2023-12-25,PENDING
ACC-02291,FIR-001051,secondary,2023-12-25,ISSUED
ACC-02152,FIR-001052,primary,2023-12-03,PENDING
ACC-02841,FIR-001052,secondary,2023-12-03,ISSUED
ACC-03041,FIR-001053,primary,2024-01-14,NONE
ACC-03609,FIR-001054,primary,2024-01-09,NONE
ACC-00428,FIR-001055,primary,2024-02-16,NONE
ACC-04110,FIR-001056,primary,2024-02-10,ISSUED
ACC-00968,FIR-001057,primary,2024-03-02,EXECUTED
ACC-02530,FIR-001058,primary,2024-03-26,ISSUED
ACC-02598,FIR-001059,primary,2024-04-19,NONE
ACC-01797,FIR-001060,primary,2024-04-22,NONE
ACC-00683,FIR-001061,primary,2024-05-28,ISSUED
ACC-00853,FIR-001062,primary,2024-05-07,NONE
ACC-04452,FIR-001063,primary,2024-06-21,NONE
ACC-01881,FIR-001063,secondary,2024-06-21,NONE
ACC-04324,FIR-001064,primary,2024-06-19,NONE
ACC-01943,FIR-001065,primary,2024-07-25,NONE
ACC-02128,FIR-001066,primary,2024-07-06,NONE
ACC-03055,FIR-001067,primary,2024-08-08,NONE
ACC-00829,FIR-001067,suspect,2024-08-08,NONE
ACC-00916,FIR-001067,suspect,2024-08-08,NONE
ACC-02137,FIR-001068,primary,2024-08-24,PENDING
ACC-02600,FIR-001069,primary,2024-09-09,PENDING
ACC-00181,FIR-001069,suspect,2024-09-09,NONE
ACC-03977,FIR-001070,primary,2024-09-11,NONE
ACC-02608,FIR-001071,primary,2024-10-30,NONE
ACC-00652,FIR-001072,primary,2024-10-26,NONE
ACC-03656,FIR-001073,primary,2024-11-18,ISSUED
ACC-03823,FIR-001074,primary,2024-11-06,NONE
ACC-00753,FIR-001075,primary,2024-12-01,NONE
ACC-03161,FIR-001076,primary,2024-12-23,NONE
ACC-03876,FIR-001076,secondary,2024-12-23,ISSUED
ACC-04189,FIR-001077,primary,2025-01-26,NONE
ACC-01245,FIR-001078,primary,2025-01-09,NONE
ACC-02250,FIR-001079,primary,2025-02-15,EXECUTED
ACC-01864,FIR-001080,primary,2025-02-10,NONE
ACC-00131,FIR-001081,primary,2025-03-13,NONE
ACC-00586,FIR-001081,secondary,2025-03-13,PENDING
ACC-00921,FIR-001082,primary,2025-03-12,NONE
ACC-00984,FIR-001082,suspect,2025-03-12,NONE
ACC-01409,FIR-001083,primary,2025-04-18,ISSUED
ACC-00230,FIR-001084,primary,2025-04-27,ISSUED
ACC-03843,FIR-001084,secondary,2025-04-27,NONE
ACC-01610,FIR-001085,primary,2025-05-03,NONE
ACC-01542,FIR-001086,primary,2025-05-01,PENDING
ACC-02607,FIR-001087,primary,2025-06-20,EXECUTED
ACC-00079,FIR-001087,suspect,2025-06-20,NONE
ACC-01443,FIR-001087,secondary,2025-06-20,NONE
ACC-00885,FIR-001088,primary,2025-06-06,NONE
ACC-01530,FIR-001089,primary,2025-07-05,EXECUTED
ACC-00009,FIR-001090,primary,2025-07-29,ISSUED
ACC-02351,FIR-001091,primary,2025-08-01,NONE
ACC-00579,FIR-001091,secondary,2025-08-01,NONE
ACC-01547,FIR-001091,suspect,2025-08-01,NONE
ACC-02846,FIR-001092,primary,2025-08-14,ISSUED
ACC-02440,FIR-001093,primary,2025-09-26,NONE
ACC-01321,FIR-001094,primary,2025-09-03,NONE
ACC-03385,FIR-001095,primary,2025-10-29,ISSUED
ACC-04057,FIR-001096,primary,2025-10-22,PENDING
ACC-02609,FIR-001097,primary,2025-11-11,NONE
ACC-01249,FIR-001098,primary,2025-11-22,NONE
ACC-02621,FIR-001098,secondary,2025-11-22,NONE
ACC-02817,FIR-001099,primary,2025-12-24,NONE
ACC-04354,FIR-001100,primary,2025-12-24,ISSUED
ACC-00586,FIR-001100,suspect,2025-12-24,NONE
ACC-01808,FIR-001100,secondary,2025-12-24,NONE
ACC-03061,FIR-001101,primary,2021-01-06,NONE
ACC-03896,FIR-001102,primary,2021-01-09,NONE
ACC-00914,FIR-001103,primary,2021-02-05,PENDING
ACC-03731,FIR-001104,primary,2021-02-02,NONE
ACC-01428,FIR-001104,suspect,2021-02-02,NONE
ACC-00643,FIR-001105,primary,2021-03-19,NONE
ACC-02856,FIR-001106,primary,2021-03-08,NONE
ACC-02459,FIR-001107,primary,2021-04-24,NONE
ACC-02952,FIR-001108,primary,2021-04-23,NONE
ACC-03787,FIR-001108,secondary,2021-04-23,NONE
ACC-00394,FIR-001109,primary,2021-05-05,NONE
ACC-01061,FIR-001109,secondary,2021-05-05,NONE
ACC-03559,FIR-001109,suspect,2021-05-05,NONE
ACC-01922,FIR-001110,primary,2021-05-26,PENDING
ACC-03156,FIR-001111,primary,2021-06-04,NONE
ACC-02848,FIR-001112,primary,2021-06-17,ISSUED
ACC-00422,FIR-001113,primary,2021-07-28,PENDING
ACC-00897,FIR-001114,primary,2021-07-23,NONE
ACC-00174,FIR-001115,primary,2021-08-20,ISSUED
ACC-03184,FIR-001116,primary,2021-08-04,NONE
ACC-00402,FIR-001117,primary,2021-09-09,NONE
ACC-02127,FIR-001118,primary,2021-09-23,EXECUTED
ACC-03295,FIR-001119,primary,2021-10-12,NONE
ACC-04352,FIR-001120,primary,2021-10-30,EXECUTED
ACC-00479,FIR-001120,secondary,2021-10-30,ISSUED
ACC-04272,FIR-001121,primary,2021-11-23,NONE
ACC-01129,FIR-001121,secondary,2021-11-23,NONE
ACC-00431,FIR-001122,primary,2021-11-11,NONE
ACC-01829,FIR-001122,secondary,2021-11-11,ISSUED
ACC-02506,FIR-001123,primary,2021-12-13,NONE
ACC-00099,FIR-001123,suspect,2021-12-13,NONE
ACC-03192,FIR-001124,primary,2021-12-03,NONE
ACC-00252,FIR-001124,suspect,2021-12-03,NONE
ACC-01948,FIR-001125,primary,2022-01-24,ISSUED
ACC-00975,FIR-001126,primary,2022-01-26,NONE
ACC-02572,FIR-001127,primary,2022-02-16,NONE
ACC-00475,FIR-001128,primary,2022-02-09,NONE
ACC-03095,FIR-001129,primary,2022-03-09,NONE
ACC-04448,FIR-001130,primary,2022-03-19,NONE
ACC-02538,FIR-001131,primary,2022-04-01,ISSUED
ACC-03743,FIR-001131,secondary,2022-04-01,NONE
ACC-00602,FIR-001132,primary,2022-04-26,NONE
ACC-01792,FIR-001132,secondary,2022-04-26,NONE
ACC-02707,FIR-001133,primary,2022-05-27,NONE
ACC-01656,FIR-001134,primary,2022-05-08,ISSUED
ACC-02282,FIR-001135,primary,2022-06-22,NONE
ACC-00973,FIR-001136,primary,2022-06-22,NONE
ACC-02727,FIR-001137,primary,2022-07-22,NONE
ACC-03929,FIR-001137,secondary,2022-07-22,NONE
ACC-03723,FIR-001138,primary,2022-07-17,NONE
ACC-01686,FIR-001139,primary,2022-08-22,NONE
ACC-01596,FIR-001140,primary,2022-08-04,NONE
ACC-00450,FIR-001141,primary,2022-09-08,EXECUTED
ACC-02892,FIR-001142,primary,2022-09-10,NONE
ACC-00991,FIR-001143,primary,2022-10-01,NONE
ACC-02268,FIR-001144,primary,2022-10-01,NONE
ACC-04250,FIR-001145,primary,2022-11-03,NONE
ACC-02594,FIR-001146,primary,2022-11-23,EXECUTED
ACC-02096,FIR-001146,suspect,2022-11-23,EXECUTED
ACC-02862,FIR-001146,secondary,2022-11-23,NONE
ACC-00709,FIR-001147,primary,2022-12-30,NONE
ACC-00714,FIR-001148,primary,2022-12-21,NONE
ACC-00252,FIR-001148,secondary,2022-12-21,ISSUED
ACC-03021,FIR-001149,primary,2023-01-30,NONE
ACC-04429,FIR-001150,primary,2023-01-21,NONE
ACC-04387,FIR-001150,secondary,2023-01-21,NONE
ACC-01360,FIR-001151,primary,2023-02-09,ISSUED
ACC-03220,FIR-001152,primary,2023-02-05,NONE
ACC-03210,FIR-001153,primary,2023-03-05,ISSUED
ACC-03940,FIR-001154,primary,2023-03-10,NONE
ACC-01868,FIR-001155,primary,2023-04-02,PENDING
ACC-01036,FIR-001156,primary,2023-04-03,NONE
ACC-02260,FIR-001157,primary,2023-05-13,NONE
ACC-01805,FIR-001158,primary,2023-05-05,NONE
ACC-01642,FIR-001159,primary,2023-06-17,NONE
ACC-01571,FIR-001159,secondary,2023-06-17,EXECUTED
ACC-01476,FIR-001160,primary,2023-06-14,NONE
ACC-03259,FIR-001161,primary,2023-07-29,NONE
ACC-03059,FIR-001162,primary,2023-07-09,NONE
ACC-04351,FIR-001162,secondary,2023-07-09,ISSUED
ACC-00367,FIR-001163,primary,2023-08-24,NONE
ACC-00126,FIR-001164,primary,2023-08-17,EXECUTED
ACC-01061,FIR-001164,suspect,2023-08-17,NONE
ACC-03082,FIR-001164,secondary,2023-08-17,NONE
ACC-01589,FIR-001165,primary,2023-09-23,NONE
ACC-02660,FIR-001166,primary,2023-09-20,PENDING
ACC-03897,FIR-001166,suspect,2023-09-20,NONE
ACC-04433,FIR-001167,primary,2023-10-04,ISSUED
ACC-00386,FIR-001168,primary,2023-10-07,NONE
ACC-04399,FIR-001169,primary,2023-11-11,NONE
ACC-04341,FIR-001170,primary,2023-11-06,EXECUTED
ACC-03367,FIR-001171,primary,2023-12-08,NONE
ACC-04387,FIR-001171,secondary,2023-12-08,NONE
ACC-01107,FIR-001172,primary,2023-12-17,EXECUTED
ACC-00314,FIR-001173,primary,2024-01-30,NONE
ACC-03559,FIR-001173,secondary,2024-01-30,NONE
ACC-01006,FIR-001174,primary,2024-01-06,PENDING
ACC-00467,FIR-001175,primary,2024-02-28,NONE
ACC-04098,FIR-001175,secondary,2024-02-28,NONE
ACC-04280,FIR-001176,primary,2024-02-10,NONE
ACC-03082,FIR-001176,secondary,2024-02-10,PENDING
ACC-03049,FIR-001177,primary,2024-03-22,NONE
ACC-00393,FIR-001178,primary,2024-03-13,NONE
ACC-01059,FIR-001179,primary,2024-04-22,NONE
ACC-00971,FIR-001179,secondary,2024-04-22,NONE
ACC-04143,FIR-001180,primary,2024-04-16,ISSUED
ACC-00620,FIR-001180,suspect,2024-04-16,NONE
ACC-00747,FIR-001181,primary,2024-05-13,NONE
ACC-03779,FIR-001181,suspect,2024-05-13,ISSUED
ACC-00368,FIR-001182,primary,2024-05-11,NONE
ACC-00676,FIR-001183,primary,2024-06-05,PENDING
ACC-00096,FIR-001184,primary,2024-06-27,PENDING
ACC-03695,FIR-001185,primary,2024-07-06,EXECUTED
ACC-02956,FIR-001186,primary,2024-07-18,NONE
ACC-02289,FIR-001187,primary,2024-08-24,NONE
ACC-02416,FIR-001188,primary,2024-08-01,NONE
ACC-01330,FIR-001188,suspect,2024-08-01,PENDING
ACC-02864,FIR-001189,primary,2024-09-18,PENDING
ACC-00684,FIR-001189,secondary,2024-09-18,NONE
ACC-04303,FIR-001190,primary,2024-09-10,NONE
ACC-01330,FIR-001190,suspect,2024-09-10,NONE
ACC-01003,FIR-001191,primary,2024-10-28,NONE
ACC-01967,FIR-001191,suspect,2024-10-28,NONE
ACC-02690,FIR-001192,primary,2024-10-30,PENDING
ACC-02470,FIR-001192,secondary,2024-10-30,NONE
ACC-00576,FIR-001192,secondary,2024-10-30,ISSUED
ACC-02619,FIR-001193,primary,2024-11-26,NONE
ACC-03809,FIR-001194,primary,2024-11-05,ISSUED
ACC-01548,FIR-001195,primary,2024-12-26,NONE
ACC-02277,FIR-001195,secondary,2024-12-26,NONE
ACC-04024,FIR-001196,primary,2024-12-20,NONE
ACC-00419,FIR-001197,primary,2025-01-26,NONE
ACC-02493,FIR-001197,secondary,2025-01-26,NONE
