fir_id,type_id,primary_section
FIR-000721,CT-005,BNS TBD - verify
FIR-000722,CT-024,BNS TBD - verify
FIR-000723,CT-013,BNS 67A (IT Act - unaffected by BNS)
FIR-000724,CT-010,BNS 318
FIR-000725,CT-004,BNS TBD - verify
FIR-000726,CT-020,BNS TBD - verify
FIR-000727,CT-019,BNS TBD - verify
FIR-000728,CT-019,BNS TBD - verify
FIR-000729,CT-011,BNS TBD - verify
FIR-000730,CT-033,BNS TBD - verify
FIR-000731,CT-003,BNS 304
FIR-000732,CT-008,BNS TBD - verify
FIR-000733,CT-022,BNS TBD - verify
FIR-000734,CT-032,BNS TBD - verify
FIR-000735,CT-024,BNS TBD - verify
FIR-000736,CT-028,BNS TBD - verify
FIR-000737,CT-013,BNS 67A (IT Act - unaffected by BNS)
FIR-000738,CT-021,BNS TBD - verify
FIR-000739,CT-014,BNS 85
FIR-000740,CT-035,BNS TBD - verify
FIR-000741,CT-016,IPC 302
FIR-000742,CT-024,IPC 379
FIR-000743,CT-033,IPC 384
FIR-000744,CT-026,IPC 353
FIR-000745,CT-031,IPC 406
FIR-000746,CT-005,IPC 395
FIR-000747,CT-037,IPC 498A
FIR-000748,CT-033,IPC 384
FIR-000749,CT-023,IPC 379
FIR-000750,CT-002,IPC 379
FIR-000751,CT-022,IPC 379
FIR-000752,CT-021,IPC 379
FIR-000753,CT-003,IPC 379
FIR-000754,CT-028,IPC 506
FIR-000755,CT-019,IPC 379
FIR-000756,CT-036,IPC 3
FIR-000757,CT-040,IPC 66D (IT Act)
FIR-000758,CT-014,IPC 498A
FIR-000759,CT-015,IPC 304B
FIR-000760,CT-019,IPC 379
FIR-000761,CT-011,IPC 468
FIR-000762,CT-030,IPC 138 (NI Act)
FIR-000763,CT-028,IPC 506
FIR-000764,CT-040,IPC 66D (IT Act)
FIR-000765,CT-001,IPC 379
FIR-000766,CT-020,IPC 379
FIR-000767,CT-029,IPC 420
FIR-000768,CT-031,IPC 406
FIR-000769,CT-024,IPC 379
FIR-000770,CT-002,IPC 379
FIR-000771,CT-020,IPC 379
FIR-000772,CT-042,IPC 457
FIR-000773,CT-026,IPC 353
FIR-000774,CT-022,IPC 379
FIR-000775,CT-002,IPC 379
FIR-000776,CT-026,IPC 353
FIR-000777,CT-023,IPC 379
FIR-000778,CT-025,IPC 379
FIR-000779,CT-019,IPC 379
FIR-000780,CT-019,IPC 379
FIR-000781,CT-020,IPC 379
FIR-000782,CT-036,IPC 3
FIR-000783,CT-044,IPC 268
FIR-000784,CT-005,IPC 395
FIR-000785,CT-029,IPC 420
FIR-000786,CT-020,IPC 379
FIR-000787,CT-002,IPC 379
FIR-000788,CT-023,IPC 379
FIR-000789,CT-035,IPC 498A
FIR-000790,CT-022,IPC 379
FIR-000791,CT-044,IPC 268
FIR-000792,CT-007,IPC 323
FIR-000793,CT-029,IPC 420
FIR-000794,CT-001,IPC 379
FIR-000795,CT-041,IPC 354D
FIR-000796,CT-028,IPC 506
FIR-000797,CT-029,IPC 420
FIR-000798,CT-018,IPC 427
FIR-000799,CT-034,IPC 393
FIR-000800,CT-007,IPC 323
FIR-000801,CT-011,IPC 468
FIR-000802,CT-001,IPC 379
FIR-000803,CT-024,IPC 379
FIR-000804,CT-031,IPC 406
FIR-000805,CT-022,IPC 379
FIR-000806,CT-013,IPC 67A (IT Act)
FIR-000807,CT-008,IPC 325
FIR-000808,CT-021,IPC 379
FIR-000809,CT-009,IPC 394
FIR-000810,CT-002,IPC 379
FIR-000811,CT-037,IPC 498A
FIR-000812,CT-030,IPC 138 (NI Act)
FIR-000813,CT-028,IPC 506
FIR-000814,CT-004,IPC 392
FIR-000815,CT-036,IPC 3
FIR-000816,CT-019,IPC 379
FIR-000817,CT-021,IPC 379
FIR-000818,CT-032,IPC 392
FIR-000819,CT-020,IPC 379
FIR-000820,CT-023,IPC 379
FIR-000821,CT-007,IPC 323
FIR-000822,CT-008,IPC 325
FIR-000823,CT-014,IPC 498A
FIR-000824,CT-003,IPC 379
FIR-000825,CT-019,BNS TBD - verify
FIR-000826,CT-040,BNS TBD - verify
FIR-000827,CT-024,BNS TBD - verify
FIR-000828,CT-023,BNS TBD - verify
FIR-000829,CT-029,BNS TBD - verify
FIR-000830,CT-040,BNS TBD - verify
FIR-000831,CT-036,BNS TBD - verify
FIR-000832,CT-003,BNS 304
FIR-000833,CT-021,BNS TBD - verify
FIR-000834,CT-024,BNS TBD - verify
FIR-000835,CT-024,BNS TBD - verify
FIR-000836,CT-013,BNS 67A (IT Act - unaffected by BNS)
FIR-000837,CT-020,BNS TBD - verify
FIR-000838,CT-029,BNS TBD - verify
FIR-000839,CT-009,BNS 296
FIR-000840,CT-019,BNS TBD - verify
FIR-000841,CT-012,BNS 66C
FIR-000842,CT-038,BNS TBD - verify
FIR-000843,CT-003,BNS 304
FIR-000844,CT-042,BNS TBD - verify
FIR-000845,CT-020,BNS TBD - verify
FIR-000846,CT-009,BNS 296
FIR-000847,CT-023,BNS TBD - verify
FIR-000848,CT-030,BNS TBD - verify
FIR-000849,CT-004,BNS TBD - verify
FIR-000850,CT-035,BNS TBD - verify
FIR-000851,CT-024,BNS TBD - verify
FIR-000852,CT-019,BNS TBD - verify
FIR-000853,CT-013,BNS 67A (IT Act - unaffected by BNS)
FIR-000854,CT-004,BNS TBD - verify
FIR-000855,CT-033,BNS TBD - verify
FIR-000856,CT-036,BNS TBD - verify
FIR-000857,CT-006,BNS 331 (verify)
FIR-000858,CT-015,BNS 80
FIR-000859,CT-019,BNS TBD - verify
FIR-000860,CT-029,BNS TBD - verify
FIR-000861,CT-019,IPC 379
FIR-000862,CT-022,IPC 379
FIR-000863,CT-007,IPC 323
FIR-000864,CT-021,IPC 379
FIR-000865,CT-023,IPC 379
FIR-000866,CT-038,IPC 66C (IT Act)
FIR-000867,CT-002,IPC 379
FIR-000868,CT-009,IPC 394
FIR-000869,CT-006,IPC 454
FIR-000870,CT-030,IPC 138 (NI Act)
FIR-000871,CT-021,IPC 379
FIR-000872,CT-004,IPC 392
FIR-000873,CT-001,IPC 379
FIR-000874,CT-025,IPC 379
FIR-000875,CT-029,IPC 420
FIR-000876,CT-009,IPC 394
FIR-000877,CT-026,IPC 353
FIR-000878,CT-005,IPC 395
FIR-000879,CT-001,IPC 379
FIR-000880,CT-011,IPC 468
FIR-000881,CT-020,IPC 379
FIR-000882,CT-028,IPC 506
FIR-000883,CT-021,IPC 379
FIR-000884,CT-021,IPC 379
FIR-000885,CT-005,IPC 395
FIR-000886,CT-003,IPC 379
FIR-000887,CT-031,IPC 406
FIR-000888,CT-033,IPC 384
FIR-000889,CT-008,IPC 325
FIR-000890,CT-013,IPC 67A (IT Act)
FIR-000891,CT-001,IPC 379
FIR-000892,CT-021,IPC 379
FIR-000893,CT-003,IPC 379
FIR-000894,CT-009,IPC 394
FIR-000895,CT-039,IPC 66D (IT Act)
FIR-000896,CT-039,IPC 66D (IT Act)
FIR-000897,CT-032,IPC 392
FIR-000898,CT-034,IPC 393
FIR-000899,CT-035,IPC 498A
FIR-000900,CT-028,IPC 506
FIR-000901,CT-009,IPC 394
FIR-000902,CT-024,IPC 379
FIR-000903,CT-030,IPC 138 (NI Act)
FIR-000904,CT-021,IPC 379
FIR-000905,CT-013,IPC 67A (IT Act)
FIR-000906,CT-021,IPC 379
FIR-000907,CT-001,IPC 379
FIR-000908,CT-040,IPC 66D (IT Act)
FIR-000909,CT-024,IPC 379
FIR-000910,CT-042,IPC 457
FIR-000911,CT-001,IPC 379
FIR-000912,CT-023,IPC 379
FIR-000913,CT-045,IPC 447
FIR-000914,CT-021,IPC 379
FIR-000915,CT-001,IPC 379
FIR-000916,CT-035,IPC 498A
FIR-000917,CT-020,IPC 379
FIR-000918,CT-024,IPC 379
FIR-000919,CT-035,IPC 498A
FIR-000920,CT-030,IPC 138 (NI Act)
FIR-000921,CT-027,IPC 307
FIR-000922,CT-045,IPC 447
FIR-000923,CT-019,IPC 379
FIR-000924,CT-011,IPC 468
FIR-000925,CT-023,IPC 379
FIR-000926,CT-006,IPC 454
FIR-000927,CT-034,IPC 393
FIR-000928,CT-012,IPC 66C
FIR-000929,CT-023,IPC 379
FIR-000930,CT-033,IPC 384
FIR-000931,CT-022,IPC 379
FIR-000932,CT-019,IPC 379
FIR-000933,CT-025,IPC 379
FIR-000934,CT-029,IPC 420
FIR-000935,CT-020,IPC 379
FIR-000936,CT-018,IPC 427
FIR-000937,CT-024,IPC 379
FIR-000938,CT-018,IPC 427
FIR-000939,CT-007,IPC 323
FIR-000940,CT-005,IPC 395
FIR-000941,CT-001,IPC 379
FIR-000942,CT-005,IPC 395
FIR-000943,CT-032,IPC 392
FIR-000944,CT-024,IPC 379
FIR-000945,CT-019,BNS TBD - verify
FIR-000946,CT-035,BNS TBD - verify
FIR-000947,CT-022,BNS TBD - verify
FIR-000948,CT-005,BNS TBD - verify
FIR-000949,CT-006,BNS 331 (verify)
FIR-000950,CT-015,BNS 80
FIR-000951,CT-021,BNS TBD - verify
FIR-000952,CT-026,BNS TBD - verify
FIR-000953,CT-022,BNS TBD - verify
FIR-000954,CT-030,BNS TBD - verify
FIR-000955,CT-026,BNS TBD - verify
FIR-000956,CT-011,BNS TBD - verify
FIR-000957,CT-027,BNS TBD - verify
FIR-000958,CT-010,BNS 318
FIR-000959,CT-015,BNS 80
FIR-000960,CT-029,BNS TBD - verify
FIR-000961,CT-004,BNS TBD - verify
FIR-000962,CT-008,BNS TBD - verify
FIR-000963,CT-040,BNS TBD - verify
FIR-000964,CT-021,BNS TBD - verify
FIR-000965,CT-012,BNS 66C
FIR-000966,CT-031,BNS TBD - verify
FIR-000967,CT-028,BNS TBD - verify
FIR-000968,CT-028,BNS TBD - verify
FIR-000969,CT-020,BNS TBD - verify
FIR-000970,CT-036,BNS TBD - verify
FIR-000971,CT-022,BNS TBD - verify
FIR-000972,CT-003,BNS 304
FIR-000973,CT-011,BNS TBD - verify
FIR-000974,CT-011,BNS TBD - verify
FIR-000975,CT-015,BNS 80
FIR-000976,CT-023,BNS TBD - verify
FIR-000977,CT-009,BNS 296
FIR-000978,CT-021,BNS TBD - verify
FIR-000979,CT-001,BNS 303
FIR-000980,CT-028,BNS TBD - verify
FIR-000981,CT-003,IPC 379
FIR-000982,CT-026,IPC 353
FIR-000983,CT-028,IPC 506
FIR-000984,CT-021,IPC 379
FIR-000985,CT-008,IPC 325
FIR-000986,CT-028,IPC 506
FIR-000987,CT-005,IPC 395
FIR-000988,CT-040,IPC 66D (IT Act)
FIR-000989,CT-003,IPC 379
FIR-000990,CT-037,IPC 498A
FIR-000991,CT-024,IPC 379
FIR-000992,CT-001,IPC 379
FIR-000993,CT-011,IPC 468
FIR-000994,CT-021,IPC 379
FIR-000995,CT-033,IPC 384
FIR-000996,CT-003,IPC 379
FIR-000997,CT-023,IPC 379
FIR-000998,CT-003,IPC 379
FIR-000999,CT-002,IPC 379
FIR-001000,CT-019,IPC 379
FIR-001001,CT-002,IPC 379
FIR-001002,CT-001,IPC 379
FIR-001003,CT-019,IPC 379
FIR-001004,CT-019,IPC 379
FIR-001005,CT-009,IPC 394
FIR-001006,CT-036,IPC 3
FIR-001007,CT-004,IPC 392
FIR-001008,CT-003,IPC 379
FIR-001009,CT-011,IPC 468
FIR-001010,CT-003,IPC 379
FIR-001011,CT-003,IPC 379
FIR-001012,CT-022,IPC 379
FIR-001013,CT-005,IPC 395
FIR-001014,CT-039,IPC 66D (IT Act)
FIR-001015,CT-029,IPC 420
FIR-001016,CT-015,IPC 304B
FIR-001017,CT-032,IPC 392
FIR-001018,CT-008,IPC 325
FIR-001019,CT-021,IPC 379
FIR-001020,CT-019,IPC 379
FIR-001021,CT-043,IPC 458
FIR-001022,CT-020,IPC 379
FIR-001023,CT-028,IPC 506
FIR-001024,CT-011,IPC 468
FIR-001025,CT-024,IPC 379
FIR-001026,CT-036,IPC 3
FIR-001027,CT-020,IPC 379
FIR-001028,CT-025,IPC 379
FIR-001029,CT-030,IPC 138 (NI Act)
FIR-001030,CT-019,IPC 379
FIR-001031,CT-010,IPC 420
FIR-001032,CT-041,IPC 354D
FIR-001033,CT-013,IPC 67A (IT Act)
FIR-001034,CT-014,IPC 498A
FIR-001035,CT-011,IPC 468
FIR-001036,CT-005,IPC 395
FIR-001037,CT-001,IPC 379
FIR-001038,CT-007,IPC 323
FIR-001039,CT-020,IPC 379
FIR-001040,CT-006,IPC 454
FIR-001041,CT-035,IPC 498A
FIR-001042,CT-028,IPC 506
FIR-001043,CT-034,IPC 393
FIR-001044,CT-001,IPC 379
FIR-001045,CT-039,IPC 66D (IT Act)
FIR-001046,CT-011,IPC 468
FIR-001047,CT-008,IPC 325
FIR-001048,CT-021,IPC 379
FIR-001049,CT-031,IPC 406
FIR-001050,CT-020,IPC 379
FIR-001051,CT-011,IPC 468
FIR-001052,CT-021,IPC 379
FIR-001053,CT-023,IPC 379
FIR-001054,CT-006,IPC 454
FIR-001055,CT-036,IPC 3
FIR-001056,CT-033,IPC 384
FIR-001057,CT-040,IPC 66D (IT Act)
FIR-001058,CT-033,IPC 384
FIR-001059,CT-022,IPC 379
FIR-001060,CT-008,IPC 325
FIR-001061,CT-028,IPC 506
FIR-001062,CT-020,IPC 379
FIR-001063,CT-019,IPC 379
FIR-001064,CT-034,IPC 393
FIR-001065,CT-029,BNS TBD - verify
FIR-001066,CT-008,BNS TBD - verify
FIR-001067,CT-036,BNS TBD - verify
FIR-001068,CT-019,BNS TBD - verify
FIR-001069,CT-031,BNS TBD - verify
FIR-001070,CT-028,BNS TBD - verify
FIR-001071,CT-045,BNS TBD - verify
FIR-001072,CT-027,BNS TBD - verify
FIR-001073,CT-037,BNS TBD - verify
FIR-001074,CT-018,BNS 324 range (verify)
FIR-001075,CT-037,BNS TBD - verify
FIR-001076,CT-013,BNS 67A (IT Act - unaffected by BNS)
FIR-001077,CT-021,BNS TBD - verify
FIR-001078,CT-015,BNS 80
FIR-001079,CT-037,BNS TBD - verify
FIR-001080,CT-005,BNS TBD - verify
FIR-001081,CT-037,BNS TBD - verify
FIR-001082,CT-040,BNS TBD - verify
FIR-001083,CT-020,BNS TBD - verify
FIR-001084,CT-041,BNS TBD - verify
FIR-001085,CT-043,BNS TBD - verify
FIR-001086,CT-037,BNS TBD - verify
FIR-001087,CT-003,BNS 304
FIR-001088,CT-025,BNS TBD - verify
FIR-001089,CT-038,BNS TBD - verify
FIR-001090,CT-006,BNS 331 (verify)
FIR-001091,CT-039,BNS TBD - verify
FIR-001092,CT-015,BNS 80
FIR-001093,CT-037,BNS TBD - verify
FIR-001094,CT-021,BNS TBD - verify
FIR-001095,CT-022,BNS TBD - verify
FIR-001096,CT-011,BNS TBD - verify
FIR-001097,CT-033,BNS TBD - verify
FIR-001098,CT-019,BNS TBD - verify
FIR-001099,CT-020,BNS TBD - verify
FIR-001100,CT-021,BNS TBD - verify
FIR-001101,CT-025,IPC 379
FIR-001102,CT-036,IPC 3
FIR-001103,CT-004,IPC 392
FIR-001104,CT-014,IPC 498A
FIR-001105,CT-022,IPC 379
FIR-001106,CT-006,IPC 454
FIR-001107,CT-021,IPC 379
FIR-001108,CT-034,IPC 393
FIR-001109,CT-002,IPC 379
FIR-001110,CT-038,IPC 66C (IT Act)
FIR-001111,CT-037,IPC 498A
FIR-001112,CT-028,IPC 506
FIR-001113,CT-020,IPC 379
FIR-001114,CT-027,IPC 307
FIR-001115,CT-022,IPC 379
FIR-001116,CT-015,IPC 304B
FIR-001117,CT-029,IPC 420
FIR-001118,CT-002,IPC 379
FIR-001119,CT-025,IPC 379
FIR-001120,CT-002,IPC 379
FIR-001121,CT-008,IPC 325
FIR-001122,CT-001,IPC 379
FIR-001123,CT-027,IPC 307
FIR-001124,CT-005,IPC 395
FIR-001125,CT-031,IPC 406
FIR-001126,CT-011,IPC 468
FIR-001127,CT-029,IPC 420
FIR-001128,CT-021,IPC 379
FIR-001129,CT-033,IPC 384
FIR-001130,CT-004,IPC 392
FIR-001131,CT-021,IPC 379
FIR-001132,CT-012,IPC 66C
FIR-001133,CT-003,IPC 379
FIR-001134,CT-028,IPC 506
FIR-001135,CT-043,IPC 458
FIR-001136,CT-033,IPC 384
FIR-001137,CT-030,IPC 138 (NI Act)
FIR-001138,CT-020,IPC 379
FIR-001139,CT-001,IPC 379
FIR-001140,CT-024,IPC 379
FIR-001141,CT-003,IPC 379
FIR-001142,CT-018,IPC 427
FIR-001143,CT-030,IPC 138 (NI Act)
FIR-001144,CT-023,IPC 379
FIR-001145,CT-003,IPC 379
FIR-001146,CT-013,IPC 67A (IT Act)
FIR-001147,CT-036,IPC 3
FIR-001148,CT-022,IPC 379
FIR-001149,CT-027,IPC 307
FIR-001150,CT-022,IPC 379
FIR-001151,CT-020,IPC 379
FIR-001152,CT-003,IPC 379
FIR-001153,CT-037,IPC 498A
FIR-001154,CT-020,IPC 379
FIR-001155,CT-022,IPC 379
FIR-001156,CT-019,IPC 379
FIR-001157,CT-023,IPC 379
FIR-001158,CT-030,IPC 138 (NI Act)
FIR-001159,CT-003,IPC 379
FIR-001160,CT-004,IPC 392
FIR-001161,CT-026,IPC 353
FIR-001162,CT-031,IPC 406
FIR-001163,CT-002,IPC 379
FIR-001164,CT-032,IPC 392
FIR-001165,CT-040,IPC 66D (IT Act)
FIR-001166,CT-002,IPC 379
FIR-001167,CT-039,IPC 66D (IT Act)
FIR-001168,CT-011,IPC 468
FIR-001169,CT-009,IPC 394
FIR-001170,CT-033,IPC 384
FIR-001171,CT-021,IPC 379
FIR-001172,CT-003,IPC 379
FIR-001173,CT-037,IPC 498A
FIR-001174,CT-026,IPC 353
FIR-001175,CT-024,IPC 379
FIR-001176,CT-031,IPC 406
FIR-001177,CT-035,IPC 498A
FIR-001178,CT-033,IPC 384
FIR-001179,CT-002,IPC 379
FIR-001180,CT-027,IPC 307
FIR-001181,CT-010,IPC 420
FIR-001182,CT-031,IPC 406
FIR-001183,CT-004,IPC 392
FIR-001184,CT-009,IPC 394
FIR-001185,CT-020,BNS TBD - verify
FIR-001186,CT-021,BNS TBD - verify
FIR-001187,CT-043,BNS TBD - verify
FIR-001188,CT-037,BNS TBD - verify
FIR-001189,CT-002,BNS 303
FIR-001190,CT-036,BNS TBD - verify
FIR-001191,CT-024,BNS TBD - verify
FIR-001192,CT-032,BNS TBD - verify
FIR-001193,CT-016,BNS 103 (murder)
FIR-001194,CT-036,BNS TBD - verify
FIR-001195,CT-022,BNS TBD - verify
FIR-001196,CT-023,BNS TBD - verify
FIR-001197,CT-019,BNS TBD - verify
FIR-001198,CT-001,BNS 303
FIR-001199,CT-040,BNS TBD - verify
FIR-001200,CT-041,BNS TBD - verify
FIR-001201,CT-023,BNS TBD - verify
FIR-001202,CT-011,BNS TBD - verify
FIR-001203,CT-035,BNS TBD - verify
FIR-001204,CT-027,BNS TBD - verify
FIR-001205,CT-013,BNS 67A (IT Act - unaffected by BNS)
FIR-001206,CT-002,BNS 303
FIR-001207,CT-034,BNS TBD - verify
FIR-001208,CT-030,BNS TBD - verify
FIR-001209,CT-037,BNS TBD - verify
FIR-001210,CT-021,BNS TBD - verify
FIR-001211,CT-002,BNS 303
FIR-001212,CT-008,BNS TBD - verify
FIR-001213,CT-044,BNS TBD - verify
FIR-001214,CT-026,BNS TBD - verify
FIR-001215,CT-028,BNS TBD - verify
FIR-001216,CT-042,BNS TBD - verify
FIR-001217,CT-019,BNS TBD - verify
FIR-001218,CT-039,BNS TBD - verify
FIR-001219,CT-033,BNS TBD - verify
FIR-001220,CT-039,BNS TBD - verify
FIR-001221,CT-045,IPC 447
FIR-001222,CT-003,IPC 379
FIR-001223,CT-041,IPC 354D
FIR-001224,CT-026,IPC 353
FIR-001225,CT-007,IPC 323
FIR-001226,CT-021,IPC 379
FIR-001227,CT-015,IPC 304B
FIR-001228,CT-003,IPC 379
FIR-001229,CT-024,IPC 379
FIR-001230,CT-042,IPC 457
FIR-001231,CT-040,IPC 66D (IT Act)
FIR-001232,CT-005,IPC 395
FIR-001233,CT-032,IPC 392
FIR-001234,CT-018,IPC 427
FIR-001235,CT-035,IPC 498A
FIR-001236,CT-021,IPC 379
FIR-001237,CT-030,IPC 138 (NI Act)
FIR-001238,CT-031,IPC 406
FIR-001239,CT-003,IPC 379
FIR-001240,CT-019,IPC 379
FIR-001241,CT-030,IPC 138 (NI Act)
FIR-001242,CT-042,IPC 457
FIR-001243,CT-031,IPC 406
FIR-001244,CT-018,IPC 427
FIR-001245,CT-002,IPC 379
FIR-001246,CT-043,IPC 458
FIR-001247,CT-001,IPC 379
FIR-001248,CT-019,IPC 379
FIR-001249,CT-007,IPC 323
FIR-001250,CT-010,IPC 420
FIR-001251,CT-022,IPC 379
FIR-001252,CT-008,IPC 325
FIR-001253,CT-030,IPC 138 (NI Act)
FIR-001254,CT-029,IPC 420
FIR-001255,CT-022,IPC 379
FIR-001256,CT-019,IPC 379
FIR-001257,CT-014,IPC 498A
FIR-001258,CT-011,IPC 468
FIR-001259,CT-002,IPC 379
FIR-001260,CT-025,IPC 379
FIR-001261,CT-021,IPC 379
FIR-001262,CT-029,IPC 420
FIR-001263,CT-019,IPC 379
FIR-001264,CT-026,IPC 353
FIR-001265,CT-026,IPC 353
FIR-001266,CT-026,IPC 353
FIR-001267,CT-014,IPC 498A
FIR-001268,CT-019,IPC 379
FIR-001269,CT-019,IPC 379
FIR-001270,CT-010,IPC 420
FIR-001271,CT-021,IPC 379
FIR-001272,CT-031,IPC 406
FIR-001273,CT-027,IPC 307
FIR-001274,CT-021,IPC 379
FIR-001275,CT-026,IPC 353
FIR-001276,CT-004,IPC 392
FIR-001277,CT-021,IPC 379
FIR-001278,CT-020,IPC 379
FIR-001279,CT-031,IPC 406
FIR-001280,CT-041,IPC 354D
FIR-001281,CT-001,IPC 379
FIR-001282,CT-002,IPC 379
FIR-001283,CT-006,IPC 454
FIR-001284,CT-039,IPC 66D (IT Act)
FIR-001285,CT-023,IPC 379
FIR-001286,CT-003,IPC 379
FIR-001287,CT-033,IPC 384
FIR-001288,CT-025,IPC 379
FIR-001289,CT-020,IPC 379
FIR-001290,CT-004,IPC 392
FIR-001291,CT-043,IPC 458
FIR-001292,CT-020,IPC 379
FIR-001293,CT-021,IPC 379
FIR-001294,CT-032,IPC 392
FIR-001295,CT-011,IPC 468
FIR-001296,CT-007,IPC 323
FIR-001297,CT-028,IPC 506
FIR-001298,CT-002,IPC 379
FIR-001299,CT-009,IPC 394
FIR-001300,CT-019,IPC 379
FIR-001301,CT-009,IPC 394
FIR-001302,CT-038,IPC 66C (IT Act)
FIR-001303,CT-010,IPC 420
FIR-001304,CT-011,IPC 468
FIR-001305,CT-024,BNS TBD - verify
FIR-001306,CT-004,BNS TBD - verify
FIR-001307,CT-006,BNS 331 (verify)
FIR-001308,CT-024,BNS TBD - verify
FIR-001309,CT-040,BNS TBD - verify
FIR-001310,CT-024,BNS TBD - verify
FIR-001311,CT-023,BNS TBD - verify
FIR-001312,CT-020,BNS TBD - verify
FIR-001313,CT-001,BNS 303
FIR-001314,CT-002,BNS 303
FIR-001315,CT-024,BNS TBD - verify
FIR-001316,CT-026,BNS TBD - verify
FIR-001317,CT-033,BNS TBD - verify
FIR-001318,CT-037,BNS TBD - verify
FIR-001319,CT-012,BNS 66C
FIR-001320,CT-038,BNS TBD - verify
FIR-001321,CT-011,BNS TBD - verify
FIR-001322,CT-011,BNS TBD - verify
FIR-001323,CT-010,BNS 318
FIR-001324,CT-034,BNS TBD - verify
FIR-001325,CT-037,BNS TBD - verify
FIR-001326,CT-003,BNS 304
FIR-001327,CT-001,BNS 303
FIR-001328,CT-029,BNS TBD - verify
FIR-001329,CT-034,BNS TBD - verify
FIR-001330,CT-008,BNS TBD - verify
FIR-001331,CT-028,BNS TBD - verify
FIR-001332,CT-019,BNS TBD - verify
FIR-001333,CT-021,BNS TBD - verify
FIR-001334,CT-020,BNS TBD - verify
FIR-001335,CT-030,BNS TBD - verify
FIR-001336,CT-033,BNS TBD - verify
FIR-001337,CT-027,BNS TBD - verify
FIR-001338,CT-029,BNS TBD - verify
FIR-001339,CT-019,BNS TBD - verify
FIR-001340,CT-002,BNS 303
FIR-001341,CT-025,IPC 379
FIR-001342,CT-002,IPC 379
FIR-001343,CT-004,IPC 392
FIR-001344,CT-007,IPC 323
FIR-001345,CT-010,IPC 420
FIR-001346,CT-035,IPC 498A
FIR-001347,CT-033,IPC 384
FIR-001348,CT-029,IPC 420
FIR-001349,CT-014,IPC 498A
FIR-001350,CT-027,IPC 307
FIR-001351,CT-026,IPC 353
FIR-001352,CT-026,IPC 353
FIR-001353,CT-040,IPC 66D (IT Act)
FIR-001354,CT-021,IPC 379
FIR-001355,CT-010,IPC 420
FIR-001356,CT-021,IPC 379
FIR-001357,CT-038,IPC 66C (IT Act)
FIR-001358,CT-025,IPC 379
FIR-001359,CT-015,IPC 304B
FIR-001360,CT-029,IPC 420
FIR-001361,CT-009,IPC 394
FIR-001362,CT-032,IPC 392
FIR-001363,CT-043,IPC 458
FIR-001364,CT-015,IPC 304B
FIR-001365,CT-014,IPC 498A
FIR-001366,CT-002,IPC 379
FIR-001367,CT-009,IPC 394
FIR-001368,CT-004,IPC 392
FIR-001369,CT-026,IPC 353
FIR-001370,CT-043,IPC 458
FIR-001371,CT-005,IPC 395
FIR-001372,CT-027,IPC 307
FIR-001373,CT-013,IPC 67A (IT Act)
FIR-001374,CT-001,IPC 379
FIR-001375,CT-033,IPC 384
FIR-001376,CT-022,IPC 379
FIR-001377,CT-010,IPC 420
FIR-001378,CT-026,IPC 353
FIR-001379,CT-004,IPC 392
FIR-001380,CT-008,IPC 325
FIR-001381,CT-009,IPC 394
FIR-001382,CT-029,IPC 420
FIR-001383,CT-009,IPC 394
FIR-001384,CT-028,IPC 506
FIR-001385,CT-001,IPC 379
FIR-001386,CT-020,IPC 379
FIR-001387,CT-033,IPC 384
FIR-001388,CT-034,IPC 393
FIR-001389,CT-023,IPC 379
FIR-001390,CT-008,IPC 325
FIR-001391,CT-009,IPC 394
FIR-001392,CT-031,IPC 406
FIR-001393,CT-037,IPC 498A
FIR-001394,CT-022,IPC 379
FIR-001395,CT-022,IPC 379
FIR-001396,CT-012,IPC 66C
FIR-001397,CT-035,IPC 498A
FIR-001398,CT-023,IPC 379
FIR-001399,CT-032,IPC 392
FIR-001400,CT-027,IPC 307
FIR-001401,CT-007,IPC 323
FIR-001402,CT-043,IPC 458
FIR-001403,CT-020,IPC 379
FIR-001404,CT-036,IPC 3
FIR-001405,CT-005,IPC 395
FIR-001406,CT-021,IPC 379
FIR-001407,CT-020,IPC 379
FIR-001408,CT-019,IPC 379
FIR-001409,CT-002,IPC 379
FIR-001410,CT-010,IPC 420
FIR-001411,CT-019,IPC 379
FIR-001412,CT-030,IPC 138 (NI Act)
FIR-001413,CT-039,IPC 66D (IT Act)
FIR-001414,CT-035,IPC 498A
FIR-001415,CT-039,IPC 66D (IT Act)
FIR-001416,CT-014,IPC 498A
FIR-001417,CT-024,IPC 379
FIR-001418,CT-006,IPC 454
FIR-001419,CT-031,IPC 406
FIR-001420,CT-002,IPC 379
FIR-001421,CT-028,IPC 506
FIR-001422,CT-002,IPC 379
FIR-001423,CT-021,IPC 379
FIR-001424,CT-011,IPC 468
FIR-001425,CT-023,IPC 379
FIR-001426,CT-003,IPC 379
FIR-001427,CT-022,IPC 379
FIR-001428,CT-040,IPC 66D (IT Act)
FIR-001429,CT-021,IPC 379
FIR-001430,CT-014,IPC 498A
FIR-001431,CT-003,IPC 379
FIR-001432,CT-030,IPC 138 (NI Act)
FIR-001433,CT-006,IPC 454
FIR-001434,CT-022,IPC 379
FIR-001435,CT-021,IPC 379
FIR-001436,CT-027,IPC 307
